"Gene","Matching normal","Tumor only"
"KRAS",0,0
"TP53",0,0
"KEAP1",8.2613990796491e-08,0.00129555046396769
"ATF7IP",7.32607951415554e-05,0.00121756677829125
"ARID1A",0.00010027859252224,0.000271429664592926
"STK11",0.000158115319410309,0.00266767877797628
"BRAF",0.00135733373424236,0.0439999043660049
"RB1",0.00875080660582443,0.22956304082279
"CMTR2",0.00891835772003935,0.999998460995664
"OR5F1",0.00922152272241459,0.00351358134034148
"SMARCA4",0.00922152272241459,0.397803366981106
"OR5D13",0.011716962803298,0.00121756677829125
"OR2AK2",0.0477443609495659,0.00434150631590477
"CD8B",0.999999766486908,0
"COX10",0.999999766486908,0
"HLA-DRB1",0.999999766486908,0
"IGLV5-48",0.999999766486908,0
"KIR2DL3",0.999999766486908,0
"KIR3DL2",0.999999766486908,0
"LILRB3",0.999999766486908,0.00181328259320043
"POLRMT",0.999999766486908,0.00121756677829125
"PRAMEF18",0.999999766486908,0
"PRSS3",0.999999766486908,3.30108072497485e-07
"RBMXL1",0.999999766486908,2.11922397075348e-08
"TEK",0.999999766486908,2.86055745757352e-08
"TRAPPC4",0.999999766486908,6.29675338942742e-06
